category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-75.72480964288116,-177.4053746908903,-85.48703136201948,101.68056504800916,9.762221719138324,3.0812292438790654,0.2958249005799492
causal,1,The baker kneaded the dough on a wooden table. The baker shaped the dough into small rounds. The baker baked the dough in a hot oven. The baker sold fresh bread at the village market.,40,4,-94.57247848808765,-190.3874295745045,-97.87575509492308,95.81495108641684,3.303276606835425,2.395373777160421,0.08258191517088562
causal,2,The kettle heated on the small gas stove. The kettle whistled with a loud sharp note. The kettle filled the kitchen with warm steam. The kettle cooled on a folded cloth.,37,4,-115.87319393083453,-232.46061871945858,-124.23580004833639,116.58742478862405,8.362606117501855,3.151011480773623,0.2260163815541042
causal,3,Maria planted a tomato seed in the backyard. Maria watered the dry soil with a green can. Maria found a small green sprout in the backyard. Maria picked ripe red tomatoes from a tall vine.,41,4,-143.2148333513178,-220.17975109815598,-135.42542632529512,76.96491774683818,-7.789407026022673,1.8771931157765411,-0.1899855372200652
causal,4,The snowman stood in the sunny front yard. The snowman melted in the warm spring air. The snowman shrank into a low white mound. The snowman left a wide puddle on the brown grass.,44,4,-130.4193242342444,-260.1757845133543,-130.2369583498221,129.7564602791099,-0.1823658844223246,2.949010460888861,-0.004144679191416468
causal,5,The dog dug under the wooden garden fence. The dog buried a large bone in the loose dirt. The dog covered the loose dirt with quick paws. The dog trotted to the shady porch.,40,4,-125.9225019980222,-250.1342489644885,-128.64117879979312,124.21174696646631,2.7186768017709255,3.1052936741616577,0.06796692004427314
causal,6,The storm rolled in from the western hills. The storm dropped heavy rain on the small town. The storm flooded the narrow streets with muddy water. The storm faded over the eastern fields.,37,4,-105.29427502304316,-209.83684303238988,-110.93206068500876,104.54256800934672,5.637785661965609,2.825474811063425,0.15237258545852997
causal,7,Tom sprayed the old car with a garden hose. Tom scrubbed the old car with a soapy sponge. Tom rinsed the old car with clean water. Tom dried the old car with a soft towel.,42,4,-91.19793816818856,-206.06976133212447,-97.3853980768472,114.87182316393591,6.187459908658639,2.735043408665141,0.14732047401568188
causal,8,The candle burned on the wooden dinner table. The candle dripped hot wax onto a brass holder. The candle flickered in a light hallway draft. The candle went out with a thin curl of smoke.,41,4,-153.57351306732744,-273.11006912589073,-152.1079820834566,119.53655605856329,-1.465530983870849,2.915525757525934,-0.035744658143191436
causal,9,The river swelled with brown storm water. The river spilled over the low grassy banks. The river covered the nearby fields with mud. The river settled into a calm steady flow.,37,4,-116.18290945887566,-249.05846501141787,-124.40094681829214,132.8755555525422,8.218037359416485,3.5912312311497896,0.22210911782206716
causal,10,The cat spotted the gray mouse near the pantry. The cat crept across the cold kitchen tiles. The cat pounced on the gray mouse. The cat carried the gray mouse to the back step.,40,4,-105.51192985801026,-256.8966242969036,-111.4616787424311,151.38469443889335,5.949748884420842,3.7846173609723337,0.14874372211052106
causal,11,The old bridge creaked under a heavy truck. The old bridge cracked along a rusty beam. The old bridge sagged toward the cold river. The old bridge closed for urgent repairs.,38,4,-117.41023097094148,-248.37010241299868,-117.71099928813055,130.9598714420572,0.3007683171890676,3.446312406369926,0.007914955715501779
causal,12,Grandpa stacked the logs in the stone fireplace. Grandpa lit the logs with a long wooden match. Grandpa warmed cold hands near the bright fire. Grandpa dozed in a soft armchair by the stone fireplace.,45,4,-134.1650155824609,-285.49328830093145,-127.12762903794646,151.32827271847054,-7.0373865445144475,3.362850504854901,-0.1563863676558766
causal,13,The red balloon slipped from a child's grip. The red balloon rose over the crowded fairground. The red balloon drifted toward a line of trees. The red balloon popped on a sharp branch.,39,4,-108.28468513628468,-253.92814294993877,-120.27463599853218,145.6434578136541,11.989950862247497,3.7344476362475407,0.30743463749352556
causal,14,The letter traveled in a canvas mail sack. The letter arrived at a quiet mountain post office. The letter waited in a narrow metal box. The letter reached a grateful old reader in the village.,39,4,-145.59093729406595,-221.52305371686816,-149.78902232646942,75.93211642280221,4.198085032403469,1.9469773441744156,0.1076432059590633
causal,15,Leo cracked two eggs into a metal bowl. Leo whisked the batter with a bent fork. Leo poured the batter onto a hot pan. Leo flipped a golden pancake with a wide spatula.,40,4,-127.25865992375475,-243.3263045474887,-134.46173901489237,116.06764462373394,7.203079091137624,2.9016911155933487,0.1800769772784406
causal,16,The ice cream sat in the warm paper cup. The ice cream softened in the strong summer heat. The ice cream dripped over the rim of the warm paper cup. The ice cream formed a sticky pool on the picnic table.,46,4,-122.72026465879753,-263.86297157406807,-127.27705085999332,141.14270691527054,4.556786201195791,3.0683197155493596,0.09906056959121286
causal,17,Nora wrote the letter at the old oak desk. Nora folded the letter into a neat square. Nora sealed the letter inside the blue envelope. Nora dropped the blue envelope into a corner mailbox.,38,4,-105.42915658093989,-186.2231183052063,-114.4508014600724,80.79396172426641,9.02164487913251,2.126156887480695,0.23741170734559236
causal,18,The wave rose far from the rocky shore. The wave rolled toward the sandy beach. The wave crashed over a striped umbrella. The wave soaked a pile of folded towels.,34,4,-113.83171338401735,-185.51464035362005,-120.14649370312691,71.6829269696027,6.314780319109559,2.1083213814589032,0.18572883291498704
