category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-101.4874332100153,-225.02396067231894,-110.39496427029371,123.53652746230364,8.907531060278416,3.7435311352213225,0.26992518364480045
causal,1,The baker kneaded the dough on a wooden table. The baker shaped the dough into small rounds. The baker baked the dough in a hot oven. The baker sold fresh bread at the village market.,41,4,-126.59913104772568,-253.1840962395072,-120.86959853209555,126.58496519178152,-5.729532515630126,3.0874381754093054,-0.1397446955031738
causal,2,The kettle heated on the small gas stove. The kettle whistled with a loud sharp note. The kettle filled the kitchen with warm steam. The kettle cooled on a folded cloth.,36,4,-144.10900799185038,-243.0929183959961,-147.92597445566207,98.98391040414572,3.8169664638116956,2.7495530667818255,0.10602684621699154
causal,3,Maria planted a tomato seed in the backyard. Maria watered the dry soil with a green can. Maria found a small green sprout in the backyard. Maria picked ripe red tomatoes from a tall vine.,40,4,-165.03624072670937,-265.2170450091362,-164.30855211615562,100.18080428242683,-0.7276886105537415,2.504520107060671,-0.018192215263843535
causal,4,The snowman stood in the sunny front yard. The snowman melted in the warm spring air. The snowman shrank into a low white mound. The snowman left a wide puddle on the brown grass.,44,4,-150.72025718633085,-286.5069872960448,-152.0434173392132,135.78673010971397,1.3231601528823376,3.0860620479480447,0.030071821656416763
causal,5,The dog dug under the wooden garden fence. The dog buried a large bone in the loose dirt. The dog covered the loose dirt with quick paws. The dog trotted to the shady porch.,39,4,-149.7388607636094,-249.928032502532,-150.58834378421307,100.1891717389226,0.8494830206036568,2.5689531215108357,0.021781615912914276
causal,6,The storm rolled in from the western hills. The storm dropped heavy rain on the small town. The storm flooded the narrow streets with muddy water. The storm faded over the eastern fields.,37,4,-135.94323632121086,-240.11769543588161,-135.3771612048149,104.17445911467075,-0.5660751163959503,2.8155259220181286,-0.01529932747016082
causal,7,Tom sprayed the old car with a garden hose. Tom scrubbed the old car with a soapy sponge. Tom rinsed the old car with clean water. Tom dried the old car with a soft towel.,43,4,-118.1465188653674,-239.80183455348015,-118.91480986773968,121.65531568811275,0.7682910023722798,2.8291933880956455,0.01786723261330883
causal,8,The candle burned on the wooden dinner table. The candle dripped hot wax onto a brass holder. The candle flickered in a light hallway draft. The candle went out with a thin curl of smoke.,42,4,-163.35070928171626,-299.25177600979805,-165.04969634838017,135.9010667280818,1.6989870666639035,3.2357396840019472,0.04045207301580723
causal,9,The river swelled with brown storm water. The river spilled over the low grassy banks. The river covered the nearby fields with mud. The river settled into a calm steady flow.,37,4,-138.947755753994,-256.71495961397886,-143.76741272211075,117.76720385998487,4.81965696811676,3.182897401621213,0.1302609991382908
causal,10,The cat spotted the gray mouse near the pantry. The cat crept across the cold kitchen tiles. The cat pounced on the gray mouse. The cat carried the gray mouse to the back step.,40,4,-142.91875689849257,-262.39737658947706,-143.90905306860805,119.47861969098449,0.9902961701154709,2.9869654922746123,0.02475740425288677
causal,11,The old bridge creaked under a heavy truck. The old bridge cracked along a rusty beam. The old bridge sagged toward the cold river. The old bridge closed for urgent repairs.,37,4,-136.39414619654417,-249.80212211236358,-140.61701893806458,113.4079759158194,4.222872741520405,3.0650804301572814,0.11413169571676769
