scheme,parameter_name,parameter_value,effective_block_length_tokens,sample_index,T_prime,n_sentences,n_source_units,n_reversal_blocks,is_identity,forward_log_likelihood,reordered_log_likelihood,sigma,sigma_per_token,raw_reference_sigma,reference_difference
sentence_k,k_sentences,1,22.54678229119124,0,58,2,2,2,0,-311.3075866699219,-347.2572937011719,35.94970703125,0.6198225350215517,35.94948684767587,0.000220183574128896
sentence_k,k_sentences,1,22.54678229119124,1,81,4,4,4,0,-312.43853759765625,-352.7736511230469,40.335113525390625,0.49796436451099535,40.33557155581366,-0.0004580304230330512
sentence_k,k_sentences,1,22.54678229119124,2,92,3,3,3,0,-428.44061279296875,-448.4559326171875,20.01531982421875,0.21755782417629077,20.014720998849953,0.0005988253687974066
sentence_k,k_sentences,1,22.54678229119124,3,78,3,3,3,0,-307.59100341796875,-337.1485900878906,29.557586669921875,0.37894341884515226,29.557627192021755,-4.052209988003597e-05
sentence_k,k_sentences,1,22.54678229119124,4,100,7,7,7,0,-308.3802490234375,-377.79168701171875,69.41143798828125,0.6941143798828125,69.41206548512855,-0.0006274968473007903
sentence_k,k_sentences,1,22.54678229119124,5,117,3,3,3,0,-500.6953125,-530.349853515625,29.654541015625,0.25345761551816237,29.65439275368408,0.0001482619409216568
sentence_k,k_sentences,1,22.54678229119124,6,103,1,1,1,1,-280.08978271484375,-280.08978271484375,0.0,0.0,0.0,0.0
sentence_k,k_sentences,1,22.54678229119124,7,111,3,3,3,0,-376.2451477050781,-430.17926025390625,53.934112548828125,0.48589290584529843,53.932152900946676,0.0019596478814492
sentence_k,k_sentences,1,22.54678229119124,8,98,2,2,2,0,-322.00274658203125,-360.788330078125,38.78558349609375,0.3957712601642219,38.784395210721414,0.001188285372336395
sentence_k,k_sentences,1,22.54678229119124,9,118,10,10,10,0,-448.4348449707031,-566.3328857421875,117.89804077148438,0.9991359387413931,117.89946749352384,-0.0014267220394685864
sentence_k,k_sentences,1,22.54678229119124,10,112,8,8,8,0,-377.0745849609375,-470.18206787109375,93.10748291015625,0.8313168116978237,93.10797386948252,-0.0004909593262709677
sentence_k,k_sentences,1,22.54678229119124,11,116,6,6,6,0,-461.6883544921875,-491.6558837890625,29.967529296875,0.2583407698006466,29.96437134844018,0.003157948434818536
sentence_k,k_sentences,1,22.54678229119124,12,115,3,3,3,0,-247.86082458496094,-307.57855224609375,59.71772766113281,0.5192845883576767,59.71948096271035,-0.0017533015775370586
sentence_k,k_sentences,1,22.54678229119124,13,34,1,1,1,1,-211.07730102539062,-211.07730102539062,0.0,0.0,0.0,0.0
sentence_k,k_sentences,1,22.54678229119124,14,101,4,4,4,0,-376.2274475097656,-417.7889709472656,41.5615234375,0.41150023205445546,41.56085865147179,0.0006647860282100737
sentence_k,k_sentences,1,22.54678229119124,15,57,2,2,2,0,-205.5380096435547,-237.06617736816406,31.528167724609375,0.5531257495545504,31.528114153072238,5.3571537137031555e-05
sentence_k,k_sentences,1,22.54678229119124,16,116,7,7,7,0,-490.062744140625,-558.4599609375,68.397216796875,0.5896311792834051,68.39647033216897,0.0007464647060260177
sentence_k,k_sentences,1,22.54678229119124,17,83,3,3,3,0,-416.4178161621094,-451.40814208984375,34.990325927734375,0.42157019190041417,34.98980853887042,0.0005173888639546931
sentence_k,k_sentences,1,22.54678229119124,18,116,3,3,3,0,-389.06011962890625,-416.9134521484375,27.85333251953125,0.24011493551320043,27.852541266707703,0.0007912528235465288
sentence_k,k_sentences,1,22.54678229119124,19,113,3,3,3,0,-425.692626953125,-457.5180358886719,31.825408935546875,0.2816407870402378,31.826575032260735,-0.001166096713859588
sentence_k,k_sentences,1,22.54678229119124,20,90,2,2,2,0,-364.75250244140625,-399.1625671386719,34.410064697265625,0.3823340521918403,34.41018613590859,-0.00012143864296376705
sentence_k,k_sentences,1,22.54678229119124,21,6,1,1,1,1,-36.768218994140625,-36.768218994140625,0.0,0.0,0.0,0.0
sentence_k,k_sentences,1,22.54678229119124,22,118,9,9,9,0,-447.64788818359375,-525.020751953125,77.37286376953125,0.6557022353350106,77.37289636474998,-3.259521872678306e-05
