category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-101.4874332100153,-225.02396067231894,-110.39496427029371,123.53652746230364,8.907531060278416,3.7435311352213225,0.26992518364480045
causal,1,The cat jumped onto the kitchen counter. The cat knocked over a glass jar. The cat leaped down to the floor. The cat hid under the dining table.,33,4,-96.09251188486814,-216.88635216653347,-97.01712058484554,120.79384028166533,0.9246086999773979,3.660419402474707,0.028018445453860542
causal,2,Ben opened the old wooden gate. Ben walked into the garden. Ben picked a ripe red tomato. Ben placed the tomato in a wicker basket.,30,4,-113.30207707732916,-220.48340040445328,-116.04615031182766,107.18132332712412,2.744073234498501,3.572710777570804,0.0914691078166167
causal,3,The snowball rolled down the steep hill. The snowball gathered more snow along the way. The snowball grew to the size of a boulder. The snowball crashed into a wooden fence.,35,4,-114.05722255259752,-219.63259057700634,-118.18406341038644,105.57536802440882,4.12684085778892,3.0164390864116806,0.11790973879396915
causal,4,Clara lit a small match. Clara held the match to the candle wick. Clara watched the flame grow bright. Clara blew out the match with a quick breath.,33,4,-130.94022431969643,-233.18903559446335,-151.69632744789124,102.24881127476692,20.75610312819481,3.0984488265080885,0.6289728220665094
causal,5,The balloon floated up from the child's hand. The balloon drifted over the rooftops. The balloon caught on a sharp tree branch. The balloon popped with a loud bang.,35,4,-122.78982397419168,-243.30200354009867,-122.12551459984388,120.51217956590699,-0.6643093743477948,3.4432051304544853,-0.018980267838508424
causal,6,David picked up the heavy axe. David swung the axe at the fallen log. David split the log in half. David stacked the two pieces near the fireplace.,32,4,-132.5633910894394,-205.65911877155304,-127.61975902318954,73.09572768211365,-4.943632066249847,2.2842414900660515,-0.15448850207030773
causal,7,The river rose after the heavy rain. The river flooded the nearby meadow. The river swept away a small wooden bridge. The river left thick mud across the farmland.,34,4,-129.48627191781998,-239.13204403221607,-133.3173311650753,109.6457721143961,3.8310592472553253,3.2248756504234146,0.11267821315456839
causal,8,Emma opened the dusty attic door. Emma found an old leather suitcase inside the attic. Emma unlatched the suitcase carefully. Emma discovered a bundle of yellowed letters inside the suitcase.,36,4,-140.3914446681738,-272.04896511137486,-147.27499632537365,131.65752044320107,6.88355165719986,3.657153345644474,0.19120976825555167
causal,9,The egg rolled off the kitchen counter. The egg fell onto the hard tile floor. The egg cracked open on impact. The egg left a sticky mess on the tiles.,34,4,-108.90820760279894,-205.46265193074942,-113.75640666484833,96.55444432795048,4.848199062049389,2.8398365978808964,0.14259409006027615
causal,10,Frank loaded the fishing gear into the truck. Frank drove the truck to the lake. Frank parked the truck near the dock. Frank unloaded the fishing gear onto the wooden dock.,35,4,-104.76646961271763,-201.57227976620197,-116.04527838528156,96.80581015348434,11.278808772563934,2.7658802900995525,0.3222516792161124
causal,11,The kite caught a strong gust of wind. The kite soared high above the park. The kite tangled around a power line. The kite ripped apart in the wind.,37,4,-119.13549642032012,-230.66250526160002,-121.1349701799918,111.5270088412799,1.9994737596716732,3.014243482196754,0.054039831342477654
causal,12,Grace dug a small hole in the flowerbed. Grace dropped a tulip bulb into the hole. Grace covered the bulb with dark soil. Grace watered the soil with a green can.,37,4,-137.82964280247688,-265.0318179130554,-146.94530287384987,127.20217511057854,9.115660071372986,3.437896624610231,0.2463691911181888
causal,13,The match struck against the rough box. The match burst into a tiny flame. The match burned down toward the fingertips. The match went out in a thin wisp of smoke.,36,4,-157.80188098549843,-252.0970439016819,-147.3361076414585,94.29516291618347,-10.465773344039917,2.6193100810050964,-0.29071592622333103
causal,14,Henry carried the ladder to the side of the house. Henry leaned the ladder against the gutter. Henry climbed the ladder to the roof. Henry cleared the dead leaves from the gutter.,38,4,-119.0987193947658,-220.1031495332718,-115.73287265002728,101.004430138506,-3.365846744738519,2.6580113194343684,-0.08857491433522419
causal,15,The stone skipped across the surface of the pond. The stone bounced three times on the water. The stone lost speed near the far bank. The stone sank to the bottom of the pond.,38,4,-119.0844509229064,-224.06517238914967,-124.55027202516794,104.98072146624327,5.465821102261543,2.7626505649011386,0.14383739742793536
causal,16,Iris poured flour into a large mixing bowl. Iris added two eggs to the flour. Iris stirred the mixture with a wooden spoon. Iris poured the batter into a baking pan.,35,4,-111.53155774646439,-237.31493777036667,-110.6588203907013,125.78338002390228,-0.8727373557630926,3.5938108578257797,-0.024935353021802647
