category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-101.4874332100153,-225.02396067231894,-110.39496427029371,123.53652746230364,8.907531060278416,3.7435311352213225,0.26992518364480045
causal,1,The cup slipped from the wooden table. The cup fell to the hard floor. The cup broke into several pieces. The cup created a huge mess on the rug.,33,4,-107.12237446010113,-215.02233004570007,-114.21921510994434,107.89995558559895,7.096840649843216,3.2696956238060286,0.21505577726797623
causal,2,The plate slid off the kitchen counter. The plate dropped to the stone floor. The plate shattered into tiny shards. The plate ruined the newly swept floor.,31,4,-119.5354075729847,-211.57562524080276,-124.74132268130779,92.04021766781807,5.205915108323097,2.9690392796070344,0.16793274542977732
causal,3,The bowl tumbled from the top shelf. The bowl crashed onto the tile floor. The bowl cracked into two large pieces. The bowl spilled hot soup everywhere.,32,4,-115.82232743501663,-211.0906022787094,-120.17306543700397,95.26827484369278,4.350738001987338,2.9771335888653994,0.13596056256210431
causal,4,The vase fell from the high shelf. The vase hit the hard wooden floor. The vase smashed into a hundred pieces. The vase scattered dirt across the room.,36,4,-117.193344010273,-234.07293312251568,-118.91965902037919,116.87958911224268,1.726315010106191,3.2466552531178525,0.047953194725171976
causal,5,The car started the loud engine. The car drove down the busy street. The car hit a massive deep pothole. The car lost a silver metal hubcap.,34,4,-142.49486489966512,-249.2588050737977,-143.40723989903927,106.76394017413259,0.9123749993741512,3.140115887474488,0.026834558805122095
causal,6,The truck revved the powerful diesel engine. The truck sped down the empty highway. The truck ran over a sharp nail. The truck blew a large rubber tire.,33,4,-126.17694786190987,-220.47440146654844,-126.91624537110329,94.29745360463858,0.7392975091934204,2.857498594079957,0.02240295482404304
causal,7,The van left the crowded parking lot. The van traveled along the dirt road. The van encountered a huge fallen tree. The van sustained a scratched front bumper.,32,4,-120.47714468836784,-225.9988451078534,-122.9494062513113,105.52170041948557,2.4722615629434586,3.297553138108924,0.07725817384198308
causal,8,The taxi picked up the waiting passenger. The taxi navigated the dense city traffic. The taxi arrived at the busy airport. The taxi collected a large cash fare.,33,4,-124.26355609297752,-237.44167804718018,-126.12675254791975,113.17812195420265,1.8631964549422264,3.4296400592182623,0.05646049863461292
causal,9,The bus opened the wide front doors. The bus welcomed the eager young students. The bus drove to the local school. The bus dropped the children off safely.,32,4,-127.24072781205177,-210.6063053905964,-124.71024495363235,83.36557757854462,-2.5304828584194183,2.6051742993295193,-0.07907758932560682
causal,10,The pan sat on the hot stove. The pan began to smoke quite heavily. The pan caught on bright orange fire. The pan burned the food to a crisp.,33,4,-124.83040368556976,-209.37558413296938,-123.23903560638428,84.54518044739962,-1.5913680791854858,2.561975165072716,-0.0482232751268329
causal,11,The pot rested on the heating element. The pot boiled the clear cold water. The pot bubbled over the high edge. The pot extinguished the blue gas flame.,33,4,-144.60895853862166,-214.298045784235,-150.8204611837864,69.68908724561334,6.211502645164728,2.1117905225943434,0.18822735288377965
causal,12,The skillet heated up on the burner. The skillet seared the thick juicy steak. The skillet splattered hot grease all around. The skillet created a delicious smelling meal.,34,4,-143.78298649191856,-262.1795138567686,-141.47202694416046,118.39652736485004,-2.3109595477581024,3.4822508048485306,-0.06796939846347361
causal,13,The wok warmed over the open flame. The wok cooked the fresh green vegetables. The wok tossed the ingredients high up. The wok finished the tasty dinner dish.,36,4,-144.91766843991354,-213.34025293588638,-142.24552716867765,68.42258449597284,-2.672141271235887,1.9006273471103567,-0.07422614642321908
causal,14,The saucepan simmered the thick red liquid. The saucepan reduced the sauce quite perfectly. The saucepan coated the long thin pasta. The saucepan completed the wonderful Italian dinner.,38,4,-163.38955165422522,-245.07639679312706,-158.05228838699986,81.68684513890184,-5.337263267225353,2.149653819444785,-0.14045429650593033
causal,15,The storm gathered in the dark sky. The storm blocked out the bright sun. The storm unleashed heavy pouring rain. The storm flooded the busy city streets.,31,4,-120.15396289527416,-187.47641883790493,-122.28985123336315,67.32245594263077,2.1358883380889893,2.171692127181638,0.06889962380932223
causal,16,The cloud formed over the high mountains. The cloud grew into a massive shape. The cloud dropped loud white hail stones. The cloud damaged the fragile local crops.,32,4,-148.88852673768997,-216.61522248387337,-151.62238556146622,67.7266957461834,2.733858823776245,2.116459242068231,0.08543308824300766
causal,17,The hurricane brewed over the warm ocean. The hurricane approached the sandy coastal town. The hurricane destroyed the weak wooden houses. The hurricane left behind a terrible disaster.,32,4,-138.62333995103836,-212.58800096809864,-145.48132288455963,73.96466101706028,6.857982933521271,2.3113956567831337,0.2143119666725397
causal,18,The typhoon spun with incredible fierce winds. The typhoon struck the populated island nation. The typhoon knocked down tall power lines. The typhoon caused a massive power outage.,36,4,-139.09178013866767,-301.42112140357494,-144.89088891097344,162.32934126490727,5.799108772305772,4.5091483684696465,0.16108635478627142
causal,19,The thunderhead appeared on the distant horizon. The thunderhead flashed bright white electrical lightning. The thunderhead boomed with deep loud thunder. The thunderhead scared the small neighborhood dogs.,37,4,-146.30571179650724,-271.5735116377473,-152.36204228340648,125.26779984124005,6.056330486899242,3.3856162119254067,0.16368460775403357
causal,20,The cat spotted a tiny brown mouse. The cat crouched in the tall grass. The cat pounced on the unaware prey. The cat ate the fresh meat meal.,34,4,-139.21230689249933,-228.1538582444191,-127.55112014431506,88.94155135191977,-11.661186748184264,2.615927980938817,-0.3429760808289489
causal,21,The lion watched the grazing wild zebra. The lion snuck through the dry savanna. The lion chased the fast frightened animal. The lion caught the slow young victim.,35,4,-146.60502449981868,-252.62309174984694,-154.0978352855891,106.01806725002825,7.492810785770416,3.029087635715093,0.21408030816486903
causal,22,The tiger hid in the dense jungle. The tiger stalked the large wild boar. The tiger leaped onto the heavy beast. The tiger dragged the prize away quietly.,35,4,-130.61746688256972,-254.04052472114563,-137.56617935444228,123.42305783857591,6.948712471872568,3.526373081102169,0.19853464205350194
causal,23,The leopard rested in the tall tree. The leopard saw a passing young antelope. The leopard dropped down onto the target. The leopard carried the food back up.,37,4,-137.7736282145197,-271.8316972069442,-144.29499075585045,134.05806899242452,6.521362541330745,3.6231910538493115,0.1762530416575877
causal,24,The panther prowled the dark nighttime forest. The panther heard a loud rustling sound. The panther investigated the thick green bushes. The panther found a small tasty bird.,38,4,-136.09963516294374,-248.52983552590013,-141.09659068680776,112.43020036295638,4.996955523864017,2.9586894832356943,0.13149882957536888
causal,25,The tree swayed in the strong wind. The tree cracked near the thick base. The tree crashed into the green yard. The tree crushed the white wooden fence.,32,4,-130.47076666355133,-182.85765297710896,-131.42169070243835,52.386886313557625,0.9509240388870239,1.6370901972986758,0.029716376215219498
causal,26,The oak grew tall over many years. The oak developed thick heavy wooden branches. The oak dropped hundreds of small acorns. The oak fed the local wild squirrels.,34,4,-151.2691454142332,-249.05877244472504,-153.1730953156948,97.78962703049183,1.9039499014616013,2.8761655008968185,0.05599852651357651
causal,27,The pine produced sweet sticky tree sap. The pine caught a stray flying spark. The pine ignited into a bright flame. The pine burned down to the ground.,32,4,-142.8590517938137,-211.0495348572731,-140.89810913801193,68.1904830634594,-1.960942655801773,2.130952595733106,-0.06127945799380541
causal,28,The elm suffered from a bad disease. The elm lost all the green leaves. The elm died in the cold winter. The elm became firewood for the house.,37,4,-121.42322803707793,-232.35932114720345,-128.42084224754944,110.93609311012551,6.997614210471511,2.998272786760149,0.18912470839112192
causal,29,The maple produced sweet fresh tree sap. The maple filled the metal collection buckets. The maple provided syrup for the pancakes. The maple made a delicious sweet breakfast.,32,4,-153.5226050913334,-221.13026186823845,-153.1255704164505,67.60765677690506,-0.3970346748828888,2.112739274278283,-0.012407333590090275
causal,30,The athlete tied the tight running shoes. The athlete jogged to the local park. The athlete sprinted up the steep hill. The athlete won the big gold medal.,34,4,-123.2323483787477,-225.69608732685447,-120.92192773520947,102.46373894810677,-2.3104206435382366,3.0136393808266697,-0.0679535483393599
causal,31,The runner stretched the tired leg muscles. The runner entered the long marathon race. The runner maintained a very steady pace. The runner crossed the painted finish line.,32,4,-130.8814991824329,-209.5513590723276,-127.46142449975014,78.66985988989472,-3.4200746826827526,2.45843312155921,-0.10687733383383602
causal,32,The student opened the thick math textbook. The student studied the difficult complex equations. The student took the final written exam. The student earned a perfect high grade.,32,4,-132.86522734165192,-202.33721482008696,-140.3093082010746,69.47198747843504,7.444080859422684,2.170999608701095,0.23262752685695887
causal,33,The coach blew the loud silver whistle. The coach gathered the tired team together. The coach delivered an inspiring motivational speech. The coach motivated the players to win.,32,4,-135.39287984371185,-223.88938821852207,-136.44978073239326,88.49650837481022,1.0569008886814117,2.7655158867128193,0.03302815277129412
