category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-75.72480964288116,-177.4053746908903,-85.48703136201948,101.68056504800916,9.762221719138324,3.0812292438790654,0.2958249005799492
causal,1,The cup slipped from the wooden table. The cup fell to the hard floor. The cup broke into several pieces. The cup created a huge mess on the rug.,33,4,-95.64324423670769,-175.67969044297934,-97.87125646136701,80.03644620627165,2.2280122246593237,2.4253468547355044,0.06751552195937345
causal,2,The plate slid off the kitchen counter. The plate dropped to the stone floor. The plate shattered into tiny shards. The plate ruined the newly swept floor.,31,4,-94.66148818656802,-183.4257733374834,-98.84223123453557,88.76428515091538,4.180743047967553,2.8633640371263027,0.13486267896669527
causal,3,The bowl tumbled from the top shelf. The bowl crashed onto the tile floor. The bowl cracked into two large pieces. The bowl spilled hot soup everywhere.,32,4,-96.25159480422735,-193.5996915921569,-101.82316001015715,97.34809678792953,5.571565205929801,3.042128024622798,0.17411141268530628
causal,4,The vase fell from the high shelf. The vase hit the hard wooden floor. The vase smashed into a hundred pieces. The vase scattered dirt across the room.,32,4,-83.35431273654103,-175.69532750546932,-95.97732799127698,92.34101476892829,12.623015254735947,2.885656711529009,0.39446922671049833
causal,5,The car started the loud engine. The car drove down the busy street. The car hit a massive deep pothole. The car lost a silver metal hubcap.,34,4,-113.61295255785808,-234.20059621334076,-119.98342283489183,120.58764365548268,6.370470277033746,3.5466954016318435,0.18736677285393372
causal,6,The truck revved the powerful diesel engine. The truck sped down the empty highway. The truck ran over a sharp nail. The truck blew a large rubber tire.,33,4,-105.57528568059206,-190.63971342891455,-103.16611117240973,85.06442774832249,-2.409174508182332,2.577709931767348,-0.07300528812673733
causal,7,The van left the crowded parking lot. The van traveled along the dirt road. The van encountered a huge fallen tree. The van sustained a scratched front bumper.,32,4,-110.02915795147419,-188.01507864147425,-122.6411579400301,77.98592069000006,12.611999988555908,2.437060021562502,0.39412499964237213
causal,8,The taxi picked up the waiting passenger. The taxi navigated the dense city traffic. The taxi arrived at the busy airport. The taxi collected a large cash fare.,33,4,-106.26337948441505,-198.9166941344738,-109.43971394468099,92.65331465005875,3.1763344602659345,2.807676201516932,0.09625255940199802
causal,9,The bus opened the wide front doors. The bus welcomed the eager young students. The bus drove to the local school. The bus dropped the children off safely.,32,4,-104.00733931362629,-168.55615919455886,-107.0334911197424,64.54881988093257,3.026151806116104,2.017150621279143,0.09456724394112825
causal,10,The pan sat on the hot stove. The pan began to smoke quite heavily. The pan caught on bright orange fire. The pan burned the food to a crisp.,33,4,-100.74936882779002,-189.42523884773254,-101.68557654321194,88.67587001994252,0.936207715421915,2.6871475763618946,0.02836993077036106
causal,11,The pot rested on the heating element. The pot boiled the clear cold water. The pot bubbled over the high edge. The pot extinguished the blue gas flame.,34,4,-129.72792256134562,-215.15269600600004,-137.12001815764233,85.42477344465442,7.392095596296713,2.512493336607483,0.21741457636166803
causal,12,The skillet heated up on the burner. The skillet seared the thick juicy steak. The skillet splattered hot grease all around. The skillet created a delicious smelling meal.,34,4,-106.47383508086205,-240.64671144261956,-110.4543285779655,134.17287636175752,3.9804934971034527,3.9462610694634566,0.11707333815010156
causal,13,The wok warmed over the open flame. The wok cooked the fresh green vegetables. The wok tossed the ingredients high up. The wok finished the tasty dinner dish.,36,4,-121.30558704771101,-203.31266184151173,-125.62777101868414,82.00707479380071,4.3221839709731285,2.2779742998277976,0.12006066586036468
causal,14,The saucepan simmered the thick red liquid. The saucepan reduced the sauce quite perfectly. The saucepan coated the long thin pasta. The saucepan completed the wonderful Italian dinner.,37,4,-133.9214096069336,-222.13971618935466,-134.87895867717452,88.21830658242106,0.9575490702409297,2.38427855628165,0.02587970460110621
