category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from Alice's hand. The glass fell to the floor. The glass broke into many pieces. The glass left a wet stain on the tile floor.,33,4,-75.72480964288116,-177.4053746908903,-85.48703136201948,101.68056504800916,9.762221719138324,3.0812292438790654,0.2958249005799492
causal,1,The candle caught a small flame. The candle warmed the nearby wax. The candle bent along one soft edge. The candle dripped onto the brass holder.,31,4,-126.26708089443855,-214.1842338219285,-132.75712989270687,87.91715292748995,6.490048998268321,2.8360371912093534,0.2093564192989781
causal,2,The kettle sat above a strong blue flame. The kettle shook with rising steam. The kettle whistled across the quiet kitchen. The kettle filled two waiting cups with tea.,35,4,-128.52100815824815,-249.79021236300468,-127.42902644071728,121.26920420475653,-1.0919817175308708,3.4648344058501865,-0.031199477643739166
causal,3,Maria opened a dusty window. Maria pulled back a faded curtain. Maria spotted dark clouds over the street. Maria closed the wooden shutters.,28,4,-117.15928770590108,-190.5106716901064,-107.2037037210539,73.35138398420531,-9.95558398484718,2.61969228515019,-0.3555565708873993
causal,4,The cyclist hit a loose patch of gravel. The cyclist lost balance on the curve. The cyclist slid across the shoulder. The cyclist scraped a knee on rough pavement.,33,4,-106.35081370174885,-201.3664889074862,-101.01047460734844,95.01567520573735,-5.340339094400406,2.879262885022344,-0.1618284574060729
causal,5,The baker mixed flour with warm water. The baker kneaded the sticky dough. The baker placed the loaf in the oven. The baker sold fragrant bread at the counter.,35,4,-102.75544557813555,-228.62931802123785,-97.47152472473681,125.8738724431023,-5.28392085339874,3.5963963555172085,-0.150969167239964
causal,6,The snowman stood beneath direct sunlight. The snowman lost a rounded shoulder. The snowman dropped a carrot nose. The snowman became a shallow white heap.,33,4,-124.52211201749742,-197.46884352713823,-127.78493341989815,72.94673150964081,3.262821402400732,2.210507015443661,0.09887337583032521
causal,7,The puppy dug beneath the fence. The puppy entered the vegetable garden. The puppy trampled several lettuce rows. The puppy earned a muddy bath.,29,4,-106.8287163451314,-209.3899851962924,-116.5898666754365,102.561268851161,9.7611503303051,3.5365954776262414,0.33659139070017585
causal,8,The alarm clock rang across the dark room. The alarm clock startled a sleeping student. The alarm clock fell from the narrow shelf. The alarm clock cracked along the plastic case.,35,4,-110.49060046859086,-194.52183261327446,-114.46696948632598,84.0312321446836,3.9763690177351236,2.4008923469909598,0.11361054336386067
causal,9,The painter dipped a brush into blue paint. The painter covered the bare wall. The painter noticed a long drip. The painter wiped the splatter with a rag.,33,4,-112.0812541693449,-206.46133284270763,-121.72547844052315,94.38007867336273,9.644224271178246,2.860002384041295,0.29224922033873474
causal,10,The storm pushed black clouds inland. The storm shook the pine trees. The storm snapped a weak branch. The storm blocked the narrow road.,28,4,-102.39882781729102,-166.27210043743253,-108.51825349405408,63.873272620141506,6.119425676763058,2.281188307862197,0.21855091702725207
causal,11,The violin string tightened beneath the tuning peg. The violin string stretched beyond a safe limit. The violin string snapped with a sharp sound. The violin string startled the front row.,35,4,-122.58989872038364,-188.90135704306886,-120.58943748101592,66.31145832268521,-2.0004612393677235,1.894613094933863,-0.05715603541050639
causal,12,The waiter carried a crowded tray. The waiter brushed a chair back. The waiter lost grip on a bowl. The waiter splashed soup across a tablecloth.,32,4,-112.92784537747502,-212.1562645509839,-119.70649570971727,99.22841917350888,6.77865033224225,3.1008880991721526,0.21183282288257033
causal,13,The seed rested in damp soil. The seed cracked along a thin seam. The seed pushed a pale shoot upward. The seed opened two small leaves.,30,4,-109.62689685821533,-182.0056208372116,-115.93148276209831,72.37872397899628,6.30458590388298,2.4126241326332094,0.21015286346276602
causal,14,The printer accepted a thick report. The printer jammed near the rollers. The printer wrinkled three pages. The printer delayed the office meeting.,29,4,-116.4299093298614,-216.61848445236683,-118.59148235595785,100.18857512250543,2.1615730260964483,3.4547784525001872,0.07453700089987753
