category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from her hand. It fell to the floor. It broke into many pieces. She swept them up carefully.,25,4,-84.31655660271645,-188.54326957464218,-106.00624907016754,104.22671297192574,21.689692467451096,4.16906851887703,0.8675876986980439
causal,1,The alarm rang before sunrise. Maya reached over and silenced it quickly. She filled the kettle in the quiet kitchen. Steam rose from her mug as the first tea brewed.,34,4,-157.64855700731277,-283.1322271823883,-190.61950606107712,125.48367017507553,32.97094905376434,3.6906961816198685,0.9697337956989512
causal,2,"Leo planted tomato seeds in a wooden box. He watered the dark soil every morning. Tiny green shoots pushed through the surface. By July, red fruit hung from the vines.",36,4,-162.53914195299149,-291.1389775276184,-189.1548574566841,128.59983557462692,26.615715503692627,3.572217654850748,0.7393254306581285
causal,3,A cyclist noticed dark clouds above the hill. She pedaled faster toward the town square. Heavy rain began near the old bridge. She parked under a shop awning and waited.,37,4,-163.11998035013676,-317.7881109416485,-174.660500690341,154.66813059151173,11.540520340204239,4.180219745716533,0.3119059551406551
causal,4,"The baker mixed flour, yeast, salt, and warm water. He kneaded the dough on the counter. The dough rose beside the sunny window. Golden loaves cooled on the rack.",39,4,-147.93898111884482,-307.4761246442795,-163.9744193200022,159.53714352543466,16.035438201157376,4.0906959878316576,0.41116508208095837
causal,5,Nina dropped her keys beside the bus stop bench. She searched her bag with growing worry. A passerby pointed toward the pavement nearby. Nina picked them up and thanked him.,36,4,-152.5877357441932,-312.98891830444336,-173.95763473957777,160.40118256025016,21.369898995384574,4.455588404451394,0.5936083054273493
causal,6,The class received blank paper and colored markers. Students sketched posters for the science fair. The teacher pinned every poster on the wall. Parents stopped to read them that evening.,35,4,-159.56773412728216,-303.1070246696472,-173.53151106717996,143.53929054236505,13.963776939897798,4.101122586924716,0.39896505542565136
causal,7,A strong wind shook the apple tree. Several ripe apples fell into the grass. Omar gathered them in a woven basket. His grandmother baked a pie that night.,32,4,-138.21559065580368,-260.59939408302307,-158.80690622329712,122.38380342721939,20.59131556749344,3.824493857100606,0.64347861148417
causal,8,The dog heard footsteps outside the front gate. It barked loudly near the window. Sam opened the door and looked outside. His cousin waved and carried in two bags.,34,4,-132.98920082626864,-265.2900084257126,-157.74148546904325,132.30080759944394,24.75228464277461,3.891200223513057,0.7280083718463121
causal,9,Ella forgot her umbrella on the train seat. She noticed the mistake at the station exit. She hurried back before the doors closed again. The umbrella was still there beside the window.,37,4,-146.95264840126038,-285.2230408191681,-176.58420431613922,138.27039241790771,29.631555914878845,3.7370376329164245,0.8008528625642931
