category,index,text,T,n_blocks,ll_fwd,ll_token_rev,ll_block_rev,sigma_token,sigma_block,sigma_token_per_T,sigma_block_per_T
causal,0,The glass slipped from her hand. It fell to the floor. It broke into many pieces. She swept them up carefully.,25,4,-84.31655660271645,-188.54326957464218,-106.00624907016754,104.22671297192574,21.689692467451096,4.16906851887703,0.8675876986980439
causal,1,The dark storm clouds rolled slowly into the green valley. Heavy rain poured steadily onto the dry and dusty ground. The small river quickly overflowed its muddy grass banks. Flood water rushed aggressively into the nearby empty farm fields.,44,4,-194.12432900909334,-342.70311188697815,-212.2539916774258,148.5787828778848,18.129662668332458,3.3767905199519275,0.41203778791664675
causal,2,He placed the chopped raw vegetables into the large metal pot. The boiling hot water cooked them until they were very soft. He blended the entire mixture into a thick and smooth puree. The warm delicious soup was served immediately in small ceramic bowls.,49,4,-177.3140951655805,-383.4943296313286,-201.9184755422175,206.18023446574807,24.604380376636982,4.207759887056083,0.5021302117681017
causal,3,The loud alarm clock rang sharply on the wooden nightstand. She reached over quickly and turned off the annoying noise. She slowly climbed out of the warm and comfortable bed. She walked straight into the dark kitchen to brew fresh coffee.,46,4,-181.0590809136629,-333.6838798224926,-196.7389744669199,152.6247989088297,15.679893553256989,3.317930411061515,0.3408672511577606
causal,4,The young boy accidentally dropped his bright red helium balloon. The strong wind caught the string and carried it away. The balloon floated high above the tall green park trees. It finally disappeared completely into the thick gray rain clouds.,44,4,-184.18009884655476,-328.66138330101967,-198.89938612282276,144.4812844544649,14.719287276268005,3.2836655557832937,0.3345292562788183
causal,5,The large dog saw a small squirrel across the busy street. He pulled very hard on his long brown leather leash. The metal collar snapped from the sudden strong physical force. The dog sprinted quickly toward the frightened and hiding animal.,46,4,-196.16150347143412,-342.3627790212631,-210.63954868912697,146.201275549829,14.478045217692852,3.1782885989093264,0.3147401134281055
causal,6,She planted the small vegetable seeds in the backyard garden. She watered the dark soil every morning before going to work. Tiny green shoots emerged slowly from the wet garden dirt. The plants eventually grew into tall and brightly blooming flowers.,46,4,-179.76436017546803,-374.0528337955475,-211.85878516337834,194.28847362007946,32.094424987910315,4.223662470001727,0.6977048910415286
causal,7,The baker mixed white flour and warm water in a bowl. He kneaded the sticky dough thoroughly on the wooden table. He placed the shaped bread loaf into the hot brick oven. The freshly baked bread filled the room with a wonderful aroma.,49,4,-172.87721824634355,-356.0221346318722,-189.32548871589825,183.14491638552863,16.4482704695547,3.7376513548067067,0.3356789891745857
causal,8,The experienced mechanic lifted the heavy metal hood of the car. He found a large dangerous crack in the black rubber hose. He replaced the broken engine part with a brand new one. The repaired vehicle started smoothly on the very first attempt.,47,4,-187.6724102385342,-354.1121736764908,-197.05606551654637,166.43976343795657,9.383655278012156,3.5412715625097144,0.19965223995770545
causal,9,The strict teacher handed out the final difficult math exam. The nervous students worked quietly on the complex word problems. The school bell rang loudly at the end of the class. Everyone handed their finished test papers to the front wooden desk.,46,4,-191.5660714507103,-344.7525960803032,-207.46706837415695,153.1865246295929,15.900996923446655,3.3301418397737588,0.3456738461618838
causal,10,The white snow began to fall heavily during the late afternoon. It quickly covered the busy city roads in a slippery blanket. The large city plows cleared the frozen streets throughout the night. Grateful drivers commuted safely to their warm offices the next morning.,50,4,-206.01794108748436,-410.19529950618744,-235.9776549488306,204.17735841870308,29.959713861346245,4.083547168374062,0.5991942772269249
causal,11,He struck the wooden match against the rough small paper box. The quick friction created a bright orange and dancing hot flame. He touched the small fire to the dry crumpled newspaper pages. The wooden logs caught fire and warmed the cold living room.,50,4,-240.12232329696417,-387.81793451309204,-245.4349812939763,147.69561121612787,5.312657997012138,2.9539122243225573,0.10625315994024277
causal,12,The orange cat jumped high onto the tall kitchen counter. It carelessly knocked a glass cup over the sharp table edge. The fragile cup shattered loudly on the hard ceramic tile floor. The sudden noise startled the cat into another empty dark room.,48,4,-207.23807242512703,-371.3820795416832,-234.70506083965302,164.14400711655617,27.466988414525986,3.4196668149282536,0.5722289253026247
causal,13,The tired runner tripped over a raised crack in the sidewalk. She scraped her bare knee on the rough grey concrete surface. She carefully cleaned the bleeding wound with mild soap and water. She placed a sticky plastic bandage over the small painful scratch.,51,4,-199.10420048143715,-386.78382312878966,-222.9776681838557,187.67962264735252,23.873467702418566,3.6799926009284807,0.4681072098513444
causal,14,The bright sun set slowly behind the distant purple mountain range. The sky turned completely dark and revealed countless shining silver stars. The air temperature dropped rapidly in the quiet and empty desert. Small nocturnal animals emerged cautiously from their hidden underground dirt burrows.,51,4,-210.72321194410324,-409.179265409708,-232.03894021362066,198.45605346560478,21.31572826951742,3.8912951659922506,0.4179554562650475
causal,15,The busy farmer scattered large handfuls of feed across the yard. The hungry chickens ran quickly toward the scattered yellow corn grains. They pecked aggressively at the delicious food on the dry dirt. The satisfied birds finished their large meal and returned to the coop.,53,4,-228.14825215330347,-419.8236373066902,-239.14795443881303,191.67538515338674,10.999702285509557,3.616516701007297,0.20754155255678408
causal,16,She poured boiling hot water over the dried green tea leaves. The clear water turned a deep shade of dark yellowish green. She waited patiently for the hot aromatic beverage to cool down. She drank the sweet tea slowly while reading her favorite book.,49,4,-171.04878893494606,-347.4922678768635,-188.8332878947258,176.44347894191742,17.78449895977974,3.6008873253452536,0.36294895836285185
causal,17,The young boy threw the heavy gray rock into the pond. The large stone splashed loudly into the dark and still water. Small circular ripples spread outward from the exact impact center point. The water surface eventually became completely flat and smooth once again.,50,4,-212.548735126853,-404.8899396061897,-229.24181611835957,192.34120447933674,16.693080991506577,3.8468240895867347,0.3338616198301315
causal,18,The distracted driver pressed hard on the stiff mechanical brake pedal. The heavy car skidded slightly on the wet and slippery road. The sliding vehicle came to a sudden stop before the intersection. The red traffic light changed to a bright green a moment later.,51,4,-184.6838685910916,-356.3589297533035,-200.78392363962485,171.67506116221193,16.10005504853325,3.3661776698472927,0.31568735389280883
causal,19,The talented painter dipped his wooden brush into the blue paint. He applied thick wet strokes across the large blank white canvas. He stepped backward to carefully examine his newly created modern artwork. He added some bright yellow highlights to complete the beautiful landscape.,48,4,-208.34200379252434,-381.5989797003567,-226.8384907245636,173.25697590783238,18.49648693203926,3.6095203314131745,0.38534347775081795
causal,20,The fierce wind blew violently against the old wooden farmhouse exterior. A large dead branch snapped off the ancient tall oak tree. The heavy wood crashed loudly onto the dark shingled house roof. The terrifying impact woke the entire sleeping family from their beds.,51,4,-217.5859405770898,-410.3120572566986,-241.98362112045288,192.72611667960882,24.397680543363094,3.7789434643060553,0.4783858930071195
causal,21,The hungry customer placed her lunch order at the front counter. The skilled chef prepared the hot meal in the busy kitchen. A friendly server brought the steaming food directly to the table. The happy woman ate her delicious dinner with a silver fork.,49,4,-187.70447584986687,-358.06001448631287,-193.15061047673225,170.355538636446,5.446134626865387,3.476643645641755,0.11114560462990586
causal,22,He inserted the cold brass key into the heavy front door. He turned the metal lock until it clicked open very loudly. He pushed the solid wooden door into the dark entrance hallway. He stepped quietly inside and took off his wet winter shoes.,48,4,-191.96765738725662,-344.76574897766113,-204.08202973008156,152.7980915904045,12.114372342824936,3.183293574800094,0.25238275714218616
causal,23,The small child built a tall tower using colorful plastic blocks. He carefully placed one final square piece on the very top. The unstable plastic structure swayed back and forth for a brief moment. The scattered pieces crashed loudly onto the soft living room carpet.,49,4,-209.2455832026899,-401.8031281232834,-231.30772820161656,192.5575449205935,22.06214499892667,3.92974581470599,0.45024785712095244
causal,24,She typed the final concluding words of her long history essay. She clicked the green print button on her bright computer screen. The laser printer hummed loudly and produced three typed paper pages. She stapled the white papers together neatly in the top corner.,51,4,-213.58676862344146,-412.21619963645935,-219.7765684016049,198.6294310130179,6.189799778163433,3.894694725745449,0.12136862310124379
causal,25,The old battery in the plastic flashlight died completely in the dark. He opened the round casing to remove the dead chemical cells. He inserted two fresh power batteries into the empty metal tube. The glass bulb immediately produced a bright beam of white light.,49,4,-205.33756878972054,-359.58307506144047,-220.65338882803917,154.24550627171993,15.315820038318634,3.1478674749330597,0.3125677558840538
causal,26,The large spider spun a sticky web between two tree branches. A small careless fly flew directly into the invisible silk threads. The hungry spider quickly wrapped the struggling insect in more silk. The successful predator consumed its fresh meal in the quiet forest.,48,4,-221.8988580405712,-363.63579773902893,-238.36336797475815,141.73693969845772,16.464509934186935,2.952852910384536,0.3430106236288945
causal,27,He put the dirty dinner plates into the empty washing machine. He added a small plastic packet of lemon scented cleaning detergent. He pressed the green start button on the digital control panel. The loud machine sprayed hot soapy water to clean the dishes.,51,4,-196.94222928211093,-423.6607374250889,-221.67300777882338,226.71850814297795,24.730778496712446,4.44546094397996,0.48491722542573423
causal,28,The lonely hiker lost his specific way in the dense dark forest. He used his magnetic compass to find the true northern direction. He walked steadily and carefully toward the distant tall mountain peak. He eventually found the clearly marked trail leading towards the camp.,50,4,-193.49481700360775,-387.3790622353554,-216.79814153909683,193.88424523174763,23.303324535489082,3.8776849046349526,0.4660664907097816
causal,29,The bright theater lights dimmed slowly before the featured movie started. The massive screen illuminated the dark and completely quiet viewing room. The large audience watched the exciting action film for two full hours. Everyone clapped loudly when the final ending credits finally appeared onscreen.,52,4,-215.00204173475504,-425.2864694595337,-235.70221985317767,210.28442772477865,20.700178118422627,4.0439313023995895,0.3980803484312044
noncausal,0,A violin is played with a bow. A flute is played by blowing air. A drum is played by striking it. A harp is played by plucking strings.,35,4,-95.60428583808243,-230.70551058650017,-114.85227402113378,135.10122474841774,19.247988183051348,3.860034992811935,0.5499425195157528
noncausal,1,Oak trees produce small hard green acorns during the cool autumn season. Pine trees maintain their sharp green needles throughout the entire calendar year. Maple trees drop their broad and colorful leaves before the freezing winter. Birch trees grow very distinctive peeling white bark on their tall trunks.,55,4,-243.5120974793099,-424.55300027132034,-257.4747809479013,181.04090279201046,13.962683468591422,3.291652778036554,0.2538669721562077
